method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
BBoxes-YOLOv4tiny,130,,443.82,2.25,349.0,309.2,0
BBoxes-YOLOv4tiny,131,,446.12,2.24,351.6,309.2,0
BBoxes-YOLOv4tiny,132,,449.57,2.22,351.3,309.2,1
BBoxes-YOLOv4tiny,133,,446.75,2.24,349.1,309.2,0
FlowerAI,0,0.0,,0.0,373.6,89.37,0
FlowerAI,1,1.0,,0.0,84.6,112.71,0
FlowerAI,2,2.01,401.60642570281124,2.49,264.8,132.35,0
FlowerAI,3,3.01,221.23893805309737,4.52,348.3,132.54,0
FlowerAI,4,4.02,221.23893805309737,4.52,356.3,133.16,0
FlowerAI,5,5.02,221.72949002217297,4.51,363.6,133.16,0
FlowerAI,6,6.03,203.66598778004072,4.91,366.4,133.16,0
FlowerAI,7,7.03,196.46365422396858,5.09,369.5,133.16,1
FlowerAI,8,8.03,201.61290322580646,4.96,363.7,133.16,1
FlowerAI,9,9.03,209.20502092050208,4.78,359.0,133.16,0
FlowerAI,10,10.04,211.4164904862579,4.73,361.2,133.16,0
FlowerAI,11,11.04,210.97046413502107,4.74,369.7,133.16,1
FlowerAI,12,12.05,193.7984496124031,5.16,374.8,133.16,0
FlowerAI,13,13.05,198.80715705765405,5.03,363.7,133.16,0
FlowerAI,14,14.05,204.0816326530612,4.9,364.3,133.16,0
FlowerAI,15,15.05,216.91973969631235,4.61,357.2,133.16,0
FlowerAI,16,16.07,222.71714922048997,4.49,352.5,133.16,0
FlowerAI,17,17.07,222.71714922048997,4.49,356.5,133.16,0
FlowerAI,18,18.08,227.27272727272725,4.4,368.5,133.16,1
FlowerAI,19,19.08,196.07843137254903,5.1,370.8,133.16,1
FlowerAI,20,20.08,202.42914979757083,4.94,362.1,133.16,0
FlowerAI,21,21.09,210.52631578947367,4.75,355.1,133.16,0
FlowerAI,22,22.09,222.22222222222223,4.5,357.9,133.16,0
FlowerAI,23,23.1,224.2152466367713,4.46,355.5,133.16,0
FlowerAI,24,24.1,195.3125,5.12,377.9,133.16,0
FlowerAI,25,25.1,195.3125,5.12,371.0,133.16,0
FlowerAI,26,26.11,197.2386587771203,5.07,371.7,133.16,0
