timestamp,method,source,frame_idx,latency_ms,fps_inst,cpu_pct,ram_mb,detections
2025-08-17T16:59:06.722,BBoxes-YOLOv4tiny,webcam,89,444.91,2.25,350.4,309.2,1
2025-08-17T16:59:07.176,BBoxes-YOLOv4tiny,webcam,90,445.05,2.25,352.3,309.2,1
2025-08-17T16:59:07.630,BBoxes-YOLOv4tiny,webcam,91,445.09,2.25,348.1,309.2,1
2025-08-17T16:59:08.087,BBoxes-YOLOv4tiny,webcam,92,447.96,2.23,350.1,309.2,1
2025-08-17T16:59:08.540,BBoxes-YOLOv4tiny,webcam,93,443.27,2.26,351.5,309.2,1
2025-08-17T16:59:08.992,BBoxes-YOLOv4tiny,webcam,94,444.01,2.25,348.9,309.2,1
2025-08-17T16:59:09.449,BBoxes-YOLOv4tiny,webcam,95,447.67,2.23,350.4,309.2,1
2025-08-17T16:59:09.902,BBoxes-YOLOv4tiny,webcam,96,445.12,2.25,348.5,309.2,1
2025-08-17T16:59:10.357,BBoxes-YOLOv4tiny,webcam,97,445.23,2.25,352.4,309.2,1
2025-08-17T16:59:10.810,BBoxes-YOLOv4tiny,webcam,98,444.62,2.25,348.4,309.2,1
2025-08-17T16:59:11.270,BBoxes-YOLOv4tiny,webcam,99,451.13,2.22,352.1,309.2,1
2025-08-17T16:59:11.726,BBoxes-YOLOv4tiny,webcam,100,446.64,2.24,349.1,309.2,1
2025-08-17T16:59:12.178,BBoxes-YOLOv4tiny,webcam,101,444.19,2.25,349.1,309.2,1
2025-08-17T16:59:12.636,BBoxes-YOLOv4tiny,webcam,102,449.1,2.23,349.7,309.2,1
2025-08-17T16:59:13.092,BBoxes-YOLOv4tiny,webcam,103,447.17,2.24,348.7,309.2,1
2025-08-17T16:59:13.549,BBoxes-YOLOv4tiny,webcam,104,448.19,2.23,350.3,309.2,1
2025-08-17T16:59:14.005,BBoxes-YOLOv4tiny,webcam,105,448.37,2.23,350.1,309.2,1
2025-08-17T16:59:14.459,BBoxes-YOLOv4tiny,webcam,106,444.59,2.25,348.7,309.2,1
2025-08-17T16:59:14.912,BBoxes-YOLOv4tiny,webcam,107,444.54,2.25,353.2,309.2,1
2025-08-17T16:59:15.367,BBoxes-YOLOv4tiny,webcam,108,446.69,2.24,348.9,309.2,1
2025-08-17T16:59:15.822,BBoxes-YOLOv4tiny,webcam,109,445.89,2.24,351.9,309.2,1
2025-08-17T16:59:16.277,BBoxes-YOLOv4tiny,webcam,110,446.18,2.24,349.5,309.2,1
2025-08-17T16:59:16.733,BBoxes-YOLOv4tiny,webcam,111,448.06,2.23,352.6,309.2,1
2025-08-17T16:59:17.184,BBoxes-YOLOv4tiny,webcam,112,442.12,2.26,348.4,309.2,1
2025-08-17T16:59:17.637,BBoxes-YOLOv4tiny,webcam,113,443.81,2.25,351.3,309.2,1
2025-08-17T16:59:18.090,BBoxes-YOLOv4tiny,webcam,114,444.04,2.25,348.7,309.2,1
2025-08-17T16:59:18.544,BBoxes-YOLOv4tiny,webcam,115,445.14,2.25,350.3,309.2,1
2025-08-17T16:59:18.997,BBoxes-YOLOv4tiny,webcam,116,444.34,2.25,352.8,309.2,1
2025-08-17T16:59:19.451,BBoxes-YOLOv4tiny,webcam,117,445.02,2.25,350.1,309.2,1
2025-08-17T16:59:19.903,BBoxes-YOLOv4tiny,webcam,118,443.23,2.26,349.4,309.2,1
2025-08-17T16:59:20.357,BBoxes-YOLOv4tiny,webcam,119,444.09,2.25,351.0,309.2,1
2025-08-17T16:59:20.811,BBoxes-YOLOv4tiny,webcam,120,445.75,2.24,349.5,309.2,1
2025-08-17T16:59:21.267,BBoxes-YOLOv4tiny,webcam,121,446.94,2.24,351.0,309.2,1
2025-08-17T16:59:21.719,BBoxes-YOLOv4tiny,webcam,122,442.97,2.26,351.9,309.2,1
2025-08-17T16:59:22.169,BBoxes-YOLOv4tiny,webcam,123,440.65,2.27,351.4,309.2,1
2025-08-17T16:59:22.625,BBoxes-YOLOv4tiny,webcam,124,447.15,2.24,348.6,309.2,1
2025-08-17T16:59:23.082,BBoxes-YOLOv4tiny,webcam,125,448.18,2.23,352.2,309.2,0
2025-08-17T16:59:23.534,BBoxes-YOLOv4tiny,webcam,126,443.66,2.25,347.2,309.2,1
2025-08-17T16:59:23.987,BBoxes-YOLOv4tiny,webcam,127,443.56,2.25,351.4,309.2,1
2025-08-17T16:59:24.443,BBoxes-YOLOv4tiny,webcam,128,447.46,2.23,350.7,309.2,1
2025-08-17T16:59:24.896,BBoxes-YOLOv4tiny,webcam,129,444.51,2.25,350.7,309.2,1
2025-08-17T16:59:25.349,BBoxes-YOLOv4tiny,webcam,130,443.82,2.25,349.0,309.2,0
2025-08-17T16:59:25.804,BBoxes-YOLOv4tiny,webcam,131,446.12,2.24,351.6,309.2,0
2025-08-17T16:59:26.262,BBoxes-YOLOv4tiny,webcam,132,449.57,2.22,351.3,309.2,1
2025-08-17T16:59:26.718,BBoxes-YOLOv4tiny,webcam,133,446.75,2.24,349.1,309.2,0
